game_id,headline,description
401715344,Unranked Ohio State leads wire-to-wire in 80-72 victory over No. 19 Texas,"Bruce Thornton scored 20 points, and the Ohio State Buckeyes defeated the 19th-ranked Texas Longhorns 80-72 on Monday night."
401715627,Simas Lukosius scores 20 as No. 20 Cincinnati beats Arkansas-Pine Bluff 109-54,"Simas Lukosius scored 20 points, Dan Skillings Jr. added 17 and No. 20 Cincinnati beat Arkansas-Pine Bluff 109-54 on Monday night in the season opener for both teams."
401714888,No headline found,No description found
401706148,No. 22 UCLA routs Rider 85-50 in season opener behind Bilodeau's 18 points in Bruins debut,"Tyler Bilodeau scored 18 points in his UCLA debut after transferring from Oregon State, and the 22nd-ranked Bruins routed Rider 85-50 on Monday night in their season opener."
401714908,"Oweh scores 21, No. 23 Kentucky routs Wright State 103-62 in Mark Pope's debut as Wildcats' coach","Otega Oweh scored 21 points, Koby Brea added 18 off the bench, and No. 23 Kentucky shot 60% to blow out Wright State 103-62 in Mark Pope's Wildcat debut on Monday night."
401715317,Murray scores 24 points as No. 24 Mississippi beats Long Island 90-60,"Jaylen Murray scored 18 of his 24 points in the first half, and No. 24 Mississippi beat Long Island 90-60 Monday night in the season opener for both teams."
401727499,No headline found,No description found
401726400,No headline found,No description found
401725796,No headline found,No description found
401715872,Charleston secures 90-80 victory against Southern Illinois,Ante Brzovic's 27 points helped Charleston defeat Southern Illinois 90-80 on Monday in a season opener.
401726395,"Pierre puts up 24, Jacksonville State downs LaGrange 112-48",Jaron Pierre Jr. had 24 points in Jacksonville State's 112-48 season-opening victory against LaGrange on Monday.
401715873,"Bal scores 24, Santa Clara downs Saint Louis 85-78 in Field of 68 Showcase",Adama Bal scored 24 points to help Santa Clara defeat Saint Louis 85-78 on Monday night in a season opener.
401722105,No headline found,No description found
401715692,"Transfer Sellers, Raynaud lead Stanford to season-opening win over Denver 85-62 in Smith's debut","Oziyah Sellers scored a career-high 24 points, Maxime Raynaud added 16 points, 12 rebounds and six assists and Stanford beat Denver 85-62 on Monday in Kyle Smith's debut as the Cardinal's head coach."
401727411,No headline found,No description found
401727277,No headline found,No description found
401722008,No headline found,No description found
401721665,"Hinton scores 27, Harvard downs Marist 79-66",Robert Hinton scored 27 points as Harvard beat Marist 79-66 on Monday night.
401718715,Aquino's 16 lead Liberty over Valparaiso 83-63 at Athletes in Action Tip-Off,Owen Aquino had 16 points in Liberty's 83-63 victory against Valparaiso at the Athletes in Action Tip-Off on Monday night.
401722285,Mashburn's 26 lead Temple over Sacred Heart 81-70,Jamal Mashburn Jr. had 26 points in Temple's 81-70 win over Sacred Heart on Monday night.
401727416,No headline found,No description found
401726019,No headline found,No description found
401722174,No headline found,No description found
401715874,No headline found,No description found
401721761,"Williamson scores 19, Bucknell defeats Delaware 85-73",Noah Williamson had 19 points in Bucknell's 85-73 win against Delaware on Monday night.
401721041,Peter Suder scores 17 and Miami of Ohio defeats Appalachian State 77-63,Peter Suder scored 17 points as Miami of Ohio beat Appalachian State 77-63 in a season opener on Monday night.
401719247,No headline found,No description found
401715590,Wilcher's 17 help St. John's knock off Fordham 92-60,Simeon Wilcher had 17 points in St. John's 92-60 win over Fordham on Monday night.
401706147,Williamson scores 16 in Niagara's 100-65 victory against Division III Houghton,Jahari Williamson had 16 points in Niagara's 100-65 win over Division III Houghton on Monday night in a season opener.
401712993,Butler wins 72-65 over Missouri State,Jahmyl Telfort scored 29 points as Butler beat Missouri State 72-65 on Monday night in a season opener.
401731875,No headline found,No description found
401728972,Eastern Kentucky wins 98-69 over Alice Lloyd,George Kimble III had 23 points in Eastern Kentucky's 98-69 win against Alice Lloyd on Monday night to begin the season.
401727842,No headline found,No description found
401727829,No headline found,No description found
401727542,Cole's 15 lead Oakland past NAIA-member Defiance 75-52,D.Q. Cole scored 15 points as Oakland beat Defiance 75-52 on Monday night.
401727302,No headline found,No description found
401727284,No headline found,No description found
401727094,No headline found,No description found
401726560,No headline found,No description found
401726058,No headline found,No description found
401726052,Montgomery puts up 22 in UNC Wilmington's 143-91 win over Mount Olive,Bo Montgomery scored 22 points to help UNC Wilmington defeat Mount Olive 143-91 on Monday night.
401726035,Johnson has 19 in Hampton's 110-53 victory against Mid-Atlantic Christian,Daniel Johnson scored 19 points as Hampton beat Mid-Atlantic Christian 110-53 on Monday night in a season opener.
401724517,House scores 21 as Furman knocks off Columbia International 104-46,Tom House's 21 points helped Furman defeat Columbia International 104-46 on Monday night.
401723747,No headline found,No description found
401722193,No headline found,No description found
401722118,No headline found,No description found
401721971,Atwell and Giles score 17 as UNC Greensboro takes down FGCU 73-64,Donovan Atwell and Kenyon Giles both scored 17 points to help UNC Greensboro defeat FGCU 73-64 on Monday night.
401721968,"Payne scores 18, Jacksonville beats Trinity Baptist 78-65",Stephon Payne III's 18 points helped Jacksonville defeat Trinity Baptist 78-65 on Monday night.
401721782,No headline found,No description found
401721666,Fiegen scores 16 in Cornell's 93-52 victory against Marywood,Jake Fiegen had 16 points in Cornell's 93-52 victory over Marywood on Monday night.
401721664,No headline found,No description found
401721663,Williams' 17 lead Pennsylvania past NJIT 58-57,Dylan Williams had 17 points in Pennsylvania's 58-57 victory over NJIT on Monday night.
401721646,"Jaden Akins scores 23 points, Michigan State opens with 81-57 victory over Monmouth",Jaden Akins scored 23 points and Michigan State pulled away in the second half to defeat Monmouth 81-57 in a season opener on Monday night.
401721074,Jones scores 15 as Coastal Carolina knocks off Western Michigan 60-56,Rasheed Jones scored 15 points as Coastal Carolina beat Western Michigan 60-56 on Monday night.
401721067,Troy secures 84-74 victory against Toledo,Myles Rigsby and Tayton Conerway had 12 points apiece in Troy's 84-74 win over Toledo on Monday night.
401721059,James Madison beats Ohio 88-78,Xavier Brown had 23 points in James Madison's 88-78 win against Ohio on Monday night.
401721049,Holiman's 19 lead Georgia Southern over Northern Illinois 80-65,Adante' Holiman had 19 points in Georgia Southern's 80-65 win over Northern Illinois on Monday night.
401721009,Tyson Dunn hits go-ahead 3-pointer from corner and Buffalo takes down Old Dominion 83-82,"Tyson Dunn led Buffalo with 24 points, including a go-ahead 3-pointer with 1.3 seconds remaining, and the Bulls knocked off Old Dominion 83-82 on Monday night."
401720991,No headline found,No description found
401720783,No headline found,No description found
401720583,Shoats' 23 points help Siena down Brown 72-71 in OT,Justice Shoats had 23 points in Siena's 72-71 overtime win against Brown on Monday night.
401720574,East Tennessee State defeats D-II Newberry 72-51,Quimari Peterson's 19 points helped East Tennessee State defeat Newberry 72-51 on Monday night.
401719334,Moore scores 18 in St. Bonaventure's 70-56 victory against CSU Northridge,Chance Moore had 18 points in St. Bonaventure's 70-56 win over CSU Northridge on Monday night in a season opener.
401719267,"Hill, Pass lead balanced scoring and NC State routs South Carolina Upstate 97-66",Marcus Hill and Breon Pass scored 14 points each and North Carolina State cruised past South Carolina Upstate 97-66 in a season opener on Monday night.
401718416,Diggins puts up 26 as UMass beats New Hampshire 103-74,Rahsool Diggins had 26 points in UMass' 103-74 victory over New Hampshire on Monday night.
401718247,"Key has 14, Dayton takes down Saint Francis (Pa.) 87-57",Zed Key scored 14 points to help Dayton defeat Saint Francis (Pa.) 87-57 on Monday night in a season opener.
401716875,Maddox's 17 lead George Mason past North Carolina Central 75-58,Darius Maddox scored 17 points as George Mason beat North Carolina Central 75-58 on Monday night.
401715888,No headline found,No description found
401715687,"Lowe, Leggett pace Pitt in 40-point win over Radford",Jaland Lowe scored 21 points and Ishmael Leggett recorded a double-double and Pitt beat Radford 96-56 in a season-opener for both teams on Monday night.
401715674,"Grad transfer Lynn Kidd debuts with 24 points, 9 boards as Miami routs Fairleigh Dickinson, 113-72","Lynn Kidd made his debut with Miami with 24 points and nine rebounds and Nijel Pack kicked off his senior season by adding 21 points and dishing five assists as the Hurricanes routed Fairleigh Dickinson, 113-72 in the season opener for both teams..."
401715651,"Watkins and Bol Bowen score 17 apiece, help Florida State pull away early to beat N. Kentucky 74-62",Jamir Watkins and Taylor Bol Bowen scored 17 points apiece and Florida State beat Northern Kentucky 74-62 on Monday night in a season opener.
401715531,"Joseph scores 21, Providence downs Central Connecticut State 59-55",Bensley Joseph scored 21 points as Providence beat Central Connecticut State 59-55 on Monday night in a season opener.
401711753,No headline found,No description found
401711742,Jaylen Smith rallies North Florida to 74-71 victory over South Carolina in season opener,Jaylen Smith scored 14 of his 16 points in the second half and North Florida rallied for a 74-71 victory over South Carolina in a season opener on Monday night.
401711702,No headline found,No description found
401707866,"Queen has 22 points, 20 rebounds in debut as Maryland beats Manhattan 79-49","Derik Queen scored 22 points and grabbed 20 rebounds, Ja'Kobi Gillespie added 16 points and five assists and Maryland pulled away in the second half to beat Manhattan 79-49 Monday night in the season opener for both teams."
401706990,West Virginia routs Robert Morris 87-59 in the debut of new Mountaineers coach Darian DeVries,"Tucker DeVries scored 18 points, Javon Small added 15 and West Virginia routed Robert Morris 87-59 on Monday in the debut of new Mountaineers coach Darian DeVries."
401706892,Syracuse avoids scare escaping NEC-member Le Moyne for 86-82 win,Reserve Jyare Davis scored 22 points and grabbed 12 rebounds and Donnie Freeman added a double-double and Syracuse fought off Le Moyne in a 86-82 win on Monday night in the season opener for both teams
401706150,Lee makes late free throws and scores 27 as Princeton downs Iona 81-80,Xaivian Lee made two free throws in the closing seconds and finished with 27 points to help Princeton overcome a 16-point deficit to beat Iona 81-80 on Monday night.
401700426,Pat Kelsey era debuts at Louisville with defensive showcase in 93-45 win over Morehead State,Kasean Pryor scored 18 points and grabbed a 12 rebounds and Louisville used a stifling half-court defense to earn a 93-45 win over Morehead State on Monday night in Pat Kelsey's debut as the Cardinals head coach.
401700417,"Hunter, Foster score 17 points each, combine for 5 3s to lead Clemson over Charleston Southern 91-64",Chase Hunter and Myles Foster scored 17 points apiece to lead Clemson to a 91-64 victory over Charleston Southern on Monday night in the season opener for both teams.
401700407,Shulga's 19 help VCU beat Bellarmine 84-65,Max Shulga's 19 points helped VCU defeat Bellarmine 84-65 on Monday night in a season opener.
401700397,Saint Joseph's (PA) secures 70-63 victory against Navy,Erik Reynolds II's 29 points helped Saint Joseph's (PA) defeat Navy 70-63 on Monday night.
401700387,No headline found,No description found
401729955,No headline found,No description found
401728317,No headline found,No description found
401727491,Brownell's 20 lead Samford past Mississippi College 100-58,Jaden Brownell's 20 points helped Samford defeat Mississippi College 100-58 on Monday night.
401727413,Western Carolina secures 100-61 win against Bob Jones,Marcus Kell scored 16 points as Western Carolina beat Bob Jones 100-61 on Monday night.
401726453,Sanders has 16 in Northwestern State's 96-55 victory against Dallas Christian,Jon Sanders scored 16 points as Northwestern State beat Dallas Christian 96-55 in a season-opener on Monday night.
401726009,No headline found,No description found
401722560,No headline found,No description found
401722290,No headline found,No description found
401722206,Niccolo Moretti scores 19 as Florida Atlantic downs Indiana State 97-64 in season opener,Niccolo Moretti helped lead Florida Atlantic past Indiana State on Monday night with 19 points off the bench in a 97-64 season-opening victory.
401722181,Vermont defeats UAB 67-62,TJ Hurley's 20 points helped Vermont defeat UAB 67-62 on Monday night.
401721760,"Pratt has 24, Northeastern takes down Boston University 80-72",LA Pratt's 24 points helped Northeastern defeat Boston University 80-72 on Monday night.
401720467,Longwood earns 79-68 victory over Randolph,K.J. McClurg scored 14 points as Longwood beat Randolph 79-68 on Monday night.
401715621,"Conwell scores 21, Xavier beats Texas Southern 78-69",Ryan Conwell scored 21 points as Xavier beat Texas Southern 78-69 on Monday night in a season opener.
401715560,Jenkins' 19 help Seton Hall defeat Saint Peter's 57-53,Chaunce Jenkins scored 19 points as Seton Hall beat Saint Peter's 57-53 on Monday night.
401715413,Zach Hicks scores 22 to lead Penn State to 108-66 victory over Binghamton in season opener,Zach Hicks scored 22 points to lead six players in double figures and Penn State breezed to a 108-66 victory over Binghamton on Monday night in a season opener.
401714988,"Hubbard and Harris combine for 46 points, hit 6 3s each; Mississippi State beats West Georgia 95-60",Josh Hubbard scored 26 points and Claudell Harris Jr. added 20 Monday night to help Mississippi State beat West Georgia 95-60 in the season opener for both teams.
401714896,Asa Newell scores 26 points to tie Georgia's program record for a freshman in his debut,Asa Newell scored 26 points to tie Dominique Wilkins' record for a Georgia freshman in his debut and the Bulldogs held off Tennessee Tech 83-78 on Monday night.
401727318,No headline found,No description found
401727145,Milton scores 19 as Murray State beats Bethel (TN) 113-37,Kylen Milton had 19 points in Murray State's 113-37 victory against Bethel (TN) on Monday.
401727106,Osburn's 16 lead Omaha past Mid-America Christian 85-69,Tony Osburn had 16 points in Omaha's 85-69 victory against Mid-America Christian on Monday night in a season opener.
401727101,No headline found,No description found
401726384,No headline found,No description found
401725813,No headline found,No description found
401724512,No headline found,No description found
401723768,No headline found,No description found
401723723,McGlockton perfect from field and Vanderbilt dumps Maryland Eastern Shore 102-63 in opener,Devin McGlockton had 24 points and 13 rebounds and Vanderbilt won its season opener 102-63 over Maryland Eastern Shore on Monday night.
401722598,UT Martin holds off Illinois State's late surge for 67-65 victory,Josue Grullon scored 18 points and grabbed nine rebounds as UT Martin beat Illinois State 67-65 on Monday.
401722566,Bradley defeats Southeast Missouri State 88-60,Christian Davis and Jaquan Johnson each scored 15 points as Bradley beat Southeast Missouri State 88-60 on Monday night in a season opener.
401722300,"Hill scores 31, Wichita State downs Western Kentucky 91-84",Justin Hill's 31 points led Wichita State over Western Kentucky 91-84 on Monday night in a season opener.
401722003,No headline found,No description found
401721950,No headline found,No description found
401721762,Scovens' 22 lead Army over Albany 67-59,Josh Scovens' 22 points helped Army defeat Albany 67-59 on Monday night in a season opener.
401721667,Poulakidas puts up 19 as Yale defeats Quinnipiac 88-62,John Poulakidas scored 19 points as Yale beat Quinnipiac 88-62 on Monday night in a season opener.
401721028,"VonCameron Davis scores 17, Kent State downs Louisiana 70-66 in season opener",VonCameron Davis had 17 points in Kent State's 70-66 victory over Louisiana in a season opener on Monday night.
401721019,Gumbs scores 15 in Texas State's 64-44 win against Eastern Michigan,Kaden Gumbs had 15 points in Texas State's 64-44 victory over Eastern Michigan on Monday night in a season opener.
401721017,"Vanderjagt scores 16 off the bench, Central Michigan downs South Alabama 74-70",Kyler Vanderjagt scored 16 points off of the bench to lead Central Michigan over South Alabama 74-70 on Monday.
401720999,Southern Miss wins 77-68 against Bowling Green,Christian Watson scored 17 points as Southern Miss beat Bowling Green 77-68 in a season opener on Monday night.
401720941,Pinion's 16 lead Arkansas State over Akron 80-75 in OT,Joseph Pinion's 16 points helped Arkansas State defeat Akron 80-75 in overtime on Monday night in a season opener.
401720867,No headline found,No description found
401720664,No headline found,No description found
401720474,Thomas' 18 help Charlotte knock off Presbyterian 88-79,Jaehshon Thomas had 18 points in Charlotte's 88-79 win against Presbyterian on Monday night to begin the season.
401718447,Thomas' 18 help Rhode Island defeat Fairfield 96-58,Sebastian Thomas' 18 points helped Rhode Island defeat Fairfield 96-58 on Monday night.
401718135,Buchanan has 19 as George Washington takes down Mercyhurst 76-59,Darren Buchanan Jr. scored 19 points as George Washington beat Mercyhurst 76-59 on Monday night.
401716153,Amir Spears scores 27 to power UTSA to 103-77 victory over Trinity (TX),Amir Spears scored 27 points as UTSA beat Trinity (TX) 103-77 in a season opener on Monday night.
401715954,No headline found,No description found
401715915,No headline found,No description found
401715615,Villanova secures 75-63 victory over Lafayette,Wooga Poplar scored 20 points as Villanova beat Lafayette 75-63 on Monday night.
401715456,"Rivera, DePaul defeat Southern Indiana 80-78 in OT","Isaiah Rivera led DePaul with 25 points, Jacob Meyer made a 3-pointer with 1.7 seconds left in regulation and the Blue Demons defeated Southern Indiana 80-78 in overtime on Monday night."
401715439,Wisconsin shakes off early sluggishness and goes on to beat Holy Cross 85-61,"John Tonje scored 23 points, John Blackwell added 16 and Wisconsin took control in the second half and subdued Holy Cross for an 85-61 season-opening win on Monday night."
401715397,"Martinelli's double-double carries Northwestern in wire-to-wire win over Lehigh, 90-46","Nick Martinelli scored 17 of his 26 points in the first half, grabbed 10 rebounds and led five players in double-figure scoring as Northwestern debuted with a 90-46 rout of Lehigh on Monday night."
401715378,"Iowa beats Texas A&M-Commerce 89-67 behind Payton Sandfort's 20 points, 11 rebounds",Payton Sandfort scored 20 points and grabbed 11 rebounds to go with seven assists to help Iowa beat Texas A&M-Commerce 89-67 on Monday night in a season opener.
401715307,Haggerty scores 22 of 25 after break to rally Memphis past Missouri 83-75 in opener,PJ Haggerty scored 22 of his 25 points in the second half when Memphis took over en route to an 83-75 win over Missouri in the season opener for both teams on Monday night.
401711681,Ognacevic's 30 lead Lipscomb over Duquesne 77-72,Jacob Ognacevic had 30 points and 10 rebounds to lead Lipscomb past Duquesne 77-72 on Monday night in a season opener.
401707984,"Brice Williams scores 27, helps Nebraska beat UT Rio Grande Valley 87-67 in season opener",Brice Williams scored 27 points and Nebraska pulled away in the second half to beat UT Rio Grande Valley 87-67 in a season opener on Monday night.
401707875,"Wolf has 19 and 13 rebounds, Donaldson scores 16 as Michigan beats Cleveland State 101-53","Danny Wolf scored 19 points and grabbed 13 rebounds, Tre Donaldson added 16 points and seven assists and Michigan never trailed Monday night in its 101-53 season-opening win over Cleveland State in coach Dusty May's debut for the Wolverines."
401707847,Will Riley's 31 points are the most by an Illinois freshman in their debut,Will Riley scored 26 of his 31 points in the second half to set an Illinois scoring record in a freshman debut and the Illini eased by Eastern Illinois 112-67 on Monday night.
401706980,Balanced TCU rides huge first half to 105-59 rout of Florida A&M,"Vasean Allette's 20 points led six in double figures, TCU scored 59 points in the first half, and the Horned Frogs routed Florida A&M 105-59 to open the season on Monday night."
401706900,Virginia Tech shakes off pesky Delaware State behind Lawal's 23 points in 83-60 win,Toibu Lawal scored 23 points and Mylyjael Poteat scored 14 points and Virginia Tech beat Delaware State 83-60 in a season opener for both teams on Monday night.
401706868,Hand's career-high double-double leads Boston College to a 69-60 win over The Citadel,"Donald Hand Jr. scored 22 points and grabbed 10 rebounds, both career highs, as Boston College held off The Citadel 69-60 in a season opener on Monday night."
401700461,Wake Forest cruises past Coppin State 64-49 behind Cameron Hildreth's 15 points,Cameron Hildreth scored 15 points to lead Wake Forest over Coppin State 64-49 on Monday night.
401727832,No headline found,No description found
401727339,Ron Jessamy scores 23 as Tennessee State defeats Fisk 96-66 in season opener,Ron Jessamy scored 23 points as Tennessee State beat Fisk 96-66 on Monday night to begin the season.
401727325,No headline found,No description found
401727085,Ngopot puts up 16 as UL Monroe knocks off Champion Christian 111-61,Jerry Ngopot's 16 points and five rebounds helped UL Monroe defeat Champion Christian 111-61 on Monday.
401725790,"Sibley scores 18, Southern Utah downs Western New Mexico 96-68",Jamari Sibley had 18 points in Southern Utah's 96-68 victory against Western New Mexico on Monday.
401725371,Leonardo Bettiol scores 22 to propel Abilene Christian past Howard Payne 107-74,Leonardo Bettiol had 22 points in Abilene Christian's 107-74 win over Howard Payne in a season opener on Monday night.
401718346,Dawson's 20 points lead Loyola Chicago over Chicago State 79-72,Jayden Dawson's 20 points helped Loyola Chicago defeat Chicago State 79-72 on Monday night.
401715934,Hines scores 21 as SE Louisiana downs William Carey 91-53,Sam Hines Jr. had 21 points in SE Louisiana's 91-53 victory over William Carey on Monday night in a season opener.
401700442,Coach Andy Enfield collects first win at the helm of SMU with a 96-62 victory over Tarleton State,"Boopie Miller scored 21 points to lead six in double-figure scoring, and coach Andy Enfield collected his first win at the helm of SMU with a 96-62 victory over Tarleton State on Monday night."
401731988,No headline found,No description found
401727313,"Jalon Moore, Sam Godwin power Oklahoma to 93-60 victory over Lindenwood in season opener",Jalon Moore scored 22 points to lead five players in double figures and Sam Godwin posted a double-double to propel Oklahoma to a 93-60 victory over Lindenwood in a season opener on Monday night.
401727115,No headline found,No description found
401726432,No headline found,No description found
401726405,No headline found,No description found
401722336,Coles' 26 lead Grand Canyon past CSU Fullerton 89-79,JaKobe Coles' 26 points helped Grand Canyon defeat CSU Fullerton 89-79 on Monday.
401722258,New Mexico wins 91-84 over Nicholls State,Nelly Junior Joseph's 28 points helped New Mexico defeat Nicholls State 91-84 on Monday.
401722134,Paul Bruns' 14 points lead South Dakota past Southern 93-79,Paul Bruns' 14 points helped South Dakota defeat Southern 93-79 on Monday night in a season opener.
401720868,No headline found,No description found
401720557,No headline found,No description found
401720538,"Gabe Madsen hits 6 3s, scores 27 as Utah beats Alcorn State 100-59","Gabe Madsen hit six 3-pointers and scored 27 points on 8-of-12 shooting Monday night, and his younger brother Mason Madsen added 15 points to help Utah beat Alcorn State 100-59 in the season opener for both teams."
401720512,Koehler puts up 22 as Weber State takes down Northwest Indian 118-35,Dyson Koehler scored 22 points as Weber State beat Northwest Indian 118-35 on Monday.
401719217,"Thompson scores 22, leads second-half outburst in Oklahoma State's 89-76 win over Green Bay",Bryce Thompson scored 22 points and Oklahoma State pulled away in the second half to defeat Green Bay 89-76 on Monday night.
401706918,"Colorado uses balanced attack, depth to subdue Eastern Washington 76-56",Reserves Sebastian Rancik scored 13 points and Trevor Baskin scored 12 points and Colorado took control after halftime and beat Eastern Washington 76-56 on Monday night in a season opener for both teams.
401722406,No headline found,No description found
401722221,Clifford's 20 lead Colorado State over North Dakota 82-56,Nique Clifford's 20 points helped Colorado State defeat North Dakota 82-56 on Monday night in a season opener.
401711729,North Alabama takes down Air Force 73-57,Jacari Lane had 24 points and six assists in North Alabama's 73-57 victory over Air Force on Monday.
401725805,"Minor's 23 points pace Oregon St. past Utah Tech 80-57, win 11th straight opener under Wayne Tinkle",Damarco Minor scored 23 points and Oregon State pulled away in the second half to post an 80-57 win over Utah Tech in the season opener Monday night.
401725349,"Trio score 14 each, Saint Mary's (CA) defeats Towson 76-69","Luke Barrett, Jordan Ross and Paulius Murauskas each scored 14 points to help Mary's (CA) defeat Towson 76-69 on Monday."
401725194,No headline found,No description found
401725192,No headline found,No description found
401722421,Sensley's 11 help UCSB defeat San Francisco State 96-47,Zion Sensley had 11 points in UCSB's 96-47 victory over San Francisco State on Monday.
401722364,Maletic's 13 lead Western Illinois over San Jose State 59-55,Marko Maletic scored 13 points as Western Illinois beat San Jose State 59-55 on Monday.
401722233,Sanders scores 27 as Nevada knocks off Sam Houston 91-75,Kobe Sanders scored 27 points as Nevada beat Sam Houston 91-75 on Monday.
401721655,"Chibuzo Agbo, Matt Knowling lead USC over Chattanooga 77-51 in Eric Musselman's debut for Trojans","Chibuzo Agbo had 14 points, reserve Matt Knowling scored 13 points and Southern Cal cruised to a 77-51 victory over Chattanooga in a season-opening victory for first-year coach Eric Musselman on Monday night."
401719367,Langston Reynolds scores 21 in Northern Colorado's 75-55 win over Colorado College in season opener,Langston Reynolds' 21 points helped Northern Colorado defeat Colorado College 75-55 on Monday night in a season opener.
401716111,"Kendal Coleman, AJ Braun score 17 apiece to help Cal Baptist defeat Incarnate Word 83-78 in opener",Kendal Coleman and AJ Braun scored 17 points apiece to help California Baptist defeat Incarnate Word 83-78 in a season opener on Monday night.
401709967,Devin Askew scores 20 as Long Beach State defeats La Verne 93-48,Devin Askew had 20 points in Long Beach State's 93-48 win over La Verne in a season opener on Monday night.
401721650,"Evans scores 23, Bittle adds 16 points and 11 rebounds; Oregon beats UC Riverside 91-76",Kwame Evans Jr. scored 23 points and Nate Bittle added 16 points and 11 rebounds Monday night to help Oregon beat UC Riverside 91-76 in the season opener for both teams.
401720977,No headline found,No description found
401719647,"Cedric Coward, Isaiah Watts guide Washington State over Portland State 100-92 in David Riley's debut","Cedric Coward scored 23 points and grabbed 12 rebounds, Isaiah Watts came off the bench to score 20, and Washington State beat Portland State 100-92 on Monday night, earning David Riley a victory in his debut as the Cougars' head coach."
401722384,Cherry scores 24 as UNLV takes down Alabama State 93-79,Jeremiah Cherry scored 24 points as UNLV beat Alabama State 93-79 on Monday.
401719347,Stojakovic scores 16 to help Cal beat Cal State Bakersfield 86-73,"Andrej Stojakovic scored 16 points, Jovan Blacksher Jr. added 15 for California on Monday night and the new-look Golden Bears beat Cal State Bakersfield 86-73 in the season opener for both teams."
401727841,No headline found,No description found
401722276,Rice knocks off Florida International 77-70,Caden Powell had 17 points in Rice's 77-70 season-opening victory against Florida International on Tuesday night.
401721763,No headline found,No description found
401700264,Lue's 22 lead Kennesaw State past Toccoa Falls 110-61,Braedan Lue had 22 points in Kennesaw State's 110-61 season-opening victory over Toccoa Falls on Tuesday night
401722271,Floyd's 23 lead North Texas over Evansville 80-63,Jasper Floyd had 23 points in North Texas' 80-63 season-opening victory against Evansville on Tuesday night.
401715636,Texas Tech kicks off 100th year of play dousing Bethune-Cookman 94-61,Kerwin Walton scored 21 points and JT Toppin scored 19 and Texas Tech all but wrapped it up at halftime beating Bethune-Cookman 94-61 on Tuesday night in a season opener for both teams.
401706971,"N’Guessan scores 21 points, grabs 15 rebounds to lead Kansas State over New Orleans 89-65",David N’Guessan scored 21 points and grabbed 15 rebounds to lead Kansas State to an 89-65 victory over New Orleans on Tuesday night in a season opener for both teams.
401720869,Arizona State pulls away late to beat Idaho State 55-48,Alston Mason scored 14 points to lead Arizona State to a 55-48 victory over Idaho State on Tuesday night in the season opener for both teams.
401706909,"BYU pulls away early behind Demin, Saunders to beat Central Arkansas 88-50",Egor Demin scored 18 points and had 11 assists and BYU rolled to an 88-50 victory over Central Arkansas on Tuesday night in the season opener for both teams.
401725365,Riley's 26 help San Francisco take down Cal Poly 86-78,Tyrone Riley IV scored 26 points as San Francisco beat Cal Poly 86-78 on Tuesday.
401720870,No headline found,No description found
